topic_id,query,question,narrative,covid,lexi_query,metamap_00_term_query,metamap_00_id_query,metamap_01_term_query,metamap_01_id_query,metamap_10_term_query,metamap_10_id_query,metamap_11_term_query,metamap_11_id_query,lexi_question,metamap_00_term_question,metamap_00_id_question,metamap_01_term_question,metamap_01_id_question,metamap_10_term_question,metamap_10_id_question,metamap_11_term_question,metamap_11_id_question,lexi_narrative,metamap_00_term_narrative,metamap_00_id_narrative,metamap_01_term_narrative,metamap_01_id_narrative,metamap_10_term_narrative,metamap_10_id_narrative,metamap_11_term_narrative,metamap_11_id_narrative,lexi_covid,metamap_00_term_covid,metamap_00_id_covid,metamap_01_term_covid,metamap_01_id_covid,metamap_10_term_covid,metamap_10_id_covid,metamap_11_term_covid,metamap_11_id_covid
27,coronavirus asymptomatic,know infected covid-19 asymptomatic,study people know infect covid-19 show symptom,covid-19, Asymptomatic,Genus: Coronavirus Asymptomatic,C0206419 C0231221,,,Genus: Coronavirus Asymptomatic,C0206419 C0231221,,, Asymptomatic,Asymptomatic Infected COVID-19,C0231221 C0439663 C5203670,,,Asymptomatic Infected COVID-19,C0231221 C0439663 C5203670,,,,Clinical Research Persons Infected Room of building - Study Scientific Study Symptoms Show Study Object DICOM Study Study Infection Symptom:Find:Pt:^Patient:Nom COVID-19,C0008972 C0027361 C0439663 C0557651 C0947630 C1457887 C1547282 C1705923 C1880229 C2603343 C3714514 C3854129 C5203670,Symptoms,C1457887,Clinical Research Persons Infected Symptoms Show COVID-19,C0008972 C0027361 C0439663 C1457887 C1547282 C5203670,Symptoms,C1457887,,COVID-19,C5203670,,,COVID-19,C5203670,,
28,coronavirus hydroxychloroquine,evidence value hydroxychloroquine treat covid-19,basic science clinical study assess benefit harm treat covid-19 hydroxychloroquine,covid-19, Hydroxychloroquine,hydroxychloroquine Genus: Coronavirus,C0020336 C0206419,hydroxychloroquine,C0020336,hydroxychloroquine Genus: Coronavirus,C0020336 C0206419,hydroxychloroquine,C0020336, Hydroxychloroquine,hydroxychloroquine Therapeutic procedure Treatment intent Treating Numerical value MDF Attribute Type - Value Evidence COVID-19,C0020336 C0087111 C1292734 C1522326 C1522609 C1554112 C3887511 C5203670,hydroxychloroquine,C0020336,hydroxychloroquine Therapeutic procedure MDF Attribute Type - Value Evidence COVID-19,C0020336 C0087111 C1554112 C3887511 C5203670,hydroxychloroquine,C0020336,  Hydroxychloroquine,Clinical Research hydroxychloroquine Therapeutic procedure Basic Research Benefit Treatment intent Assessed Treating COVID-19,C0008972 C0020336 C0087111 C0681833 C0814225 C1292734 C1516048 C1522326 C5203670,hydroxychloroquine,C0020336,Clinical Research hydroxychloroquine Therapeutic procedure Basic Research Benefit Assessed COVID-19,C0008972 C0020336 C0087111 C0681833 C0814225 C1516048 C5203670,hydroxychloroquine,C0020336,,COVID-19,C5203670,,,COVID-19,C5203670,,
29,coronavirus drug repurposing,sars-cov-2 proteins-human protein interaction indicate potential drug target approve drug repurposed base information,seek information protein-protein interaction sars-cov-2 structural protein represent promising therapeutic target drug molecule may inhibit virus host cell receptor entry step,covid-19,,Genus: Coronavirus Drug Repositioning,C0206419 C2936405,Drug Repositioning,C2936405,Genus: Coronavirus Drug Repositioning,C0206419 C2936405,Drug Repositioning,C2936405,      Alkali,"Alkalies Pharmaceutical Preparations Proteins Drug Delivery Systems Base Approved Structure of base of prostate control act - information Protein-Protein Interaction NR4A2 protein, human Pharmacologic Substance Information Base - RX Component Type base - RoleClass Error severity - Information Acknowledgement Detail Type - Information Unit dose - Base nitrogenous base Base - General Qualifier BPIFA4P gene Dental Base Anatomical base Potential SARS-CoV-2",C0002055 C0013227 C0033684 C0085104 C0178499 C0205540 C0227958 C0870705 C0872079 C1142652 C1254351 C1533716 C1549548 C1550601 C1561527 C1561528 C1626935 C1704464 C1705938 C1843354 C1880279 C2987514 C3245505 C5203676,"Drug Delivery Systems NR4A2 protein, human",C0085104 C1142652,"Alkalies Pharmaceutical Preparations Proteins Drug Delivery Systems Approved Protein-Protein Interaction NR4A2 protein, human Acknowledgement Detail Type - Information Potential SARS-CoV-2",C0002055 C0013227 C0033684 C0085104 C0205540 C0872079 C1142652 C1561528 C3245505 C5203676,"Drug Delivery Systems NR4A2 protein, human",C0085104 C1142652,        ,Drug Delivery Systems Therapeutic procedure Therapeutic Molecule Structural protein receptor virus by host Therapeutic brand of coal tar control act - information Protein-Protein Interaction Step (specific stage) PTPN5 gene Information Therapeutic - Location Service Code entry - ActRelationshipCheckpoint entry - ActClass Error severity - Information Acknowledgement Detail Type - Information Treatment Step Increment Entry (data) Host Cell Representation (action) Stair (equipment) Month of May SARS-CoV-2,C0085104 C0087111 C0302350 C0567416 C0582263 C0597357 C0682447 C0723712 C0870705 C0872079 C1261552 C1419107 C1533716 C1547427 C1550548 C1555714 C1561527 C1561528 C1704379 C1705117 C1705654 C1819995 C1882932 C2825408 C3812381 C5203676,Drug Delivery Systems,C0085104,Drug Delivery Systems Therapeutic Molecule Structural protein receptor virus by host Protein-Protein Interaction Acknowledgement Detail Type - Information Increment Entry (data) Host Cell Representation (action) Month of May SARS-CoV-2,C0085104 C0302350 C0567416 C0582263 C0597357 C0682447 C0872079 C1561528 C1705117 C1705654 C1819995 C1882932 C3812381 C5203676,Drug Delivery Systems,C0085104,,COVID-19,C5203670,,,COVID-19,C5203670,,
30,coronavirus remdesivir,remdesivir effective treatment covid-19,seek specific information clinical outcome covid-19 patient treat remdesivir,covid-19,,Genus: Coronavirus remdesivir,C0206419 C4726677,remdesivir,C4726677,Genus: Coronavirus remdesivir,C0206419 C4726677,remdesivir,C4726677,,therapeutic aspects Therapeutic procedure Effectiveness Treating Administration procedure Effective Biomaterial Treatment Treatment Study Treatment Epoch treatment - ActInformationManagementReason remdesivir COVID-19,C0039798 C0087111 C1280519 C1522326 C1533734 C1704419 C1705169 C3161471 C3538994 C3887704 C4726677 C5203670,remdesivir,C4726677,Administration procedure Effective remdesivir COVID-19,C1533734 C1704419 C4726677 C5203670,remdesivir,C4726677,,Patients Therapeutic procedure Clinical Specific qualifier value control act - information Result Treatment intent Treating Information Specimen Type - Patient Entity Determiner - specific Error severity - Information Acknowledgement Detail Type - Information Mail Claim Party - Patient Report source - Patient Relationship modifier - Patient Specimen Source Codes - Patient Disabled Person Code - Patient Veterinary Patient Clinical Lot Clinical Batch remdesivir COVID-19,C0030705 C0087111 C0205210 C0205369 C0870705 C1274040 C1292734 C1522326 C1533716 C1550655 C1552740 C1561527 C1561528 C1578481 C1578483 C1578484 C1578485 C1578486 C1705908 C3272565 C4523057 C4726677 C5203670,remdesivir,C4726677,Patients Therapeutic procedure Clinical Result Entity Determiner - specific Acknowledgement Detail Type - Information remdesivir COVID-19,C0030705 C0087111 C0205210 C1274040 C1552740 C1561528 C4726677 C5203670,remdesivir,C4726677,,COVID-19,C5203670,,,COVID-19,C5203670,,
31,difference coronavirus flu,coronavirus differ seasonal flu,include study range focus genomic difference global public health impact must draw direct comparison covid-19 seasonal influenza,covid-19, Influenza Avian influenza Family Orthomyxoviridae,Influenza Genus: Coronavirus Delta (difference) Different Fluorescence Units ZMYND10 wt Allele,C0021400 C0206419 C1705241 C1705242 C2348686 C3811318,Influenza,C0021400,Influenza Genus: Coronavirus Delta (difference),C0021400 C0206419 C1705241,Influenza,C0021400,  Influenza Avian influenza Family Orthomyxoviridae,Influenza Genus: Coronavirus Seasonal course Fluorescence Units ZMYND10 wt Allele,C0021400 C0206419 C0439601 C2348686 C3811318,Influenza,C0021400,Influenza Genus: Coronavirus Seasonal course,C0021400 C0206419 C0439601,Influenza,C0021400,  Influenza Avian influenza Family Orthomyxoviridae,Clinical Research Drawings (art) Genome Influenza Influenza virus vaccine public health medicine (field) Focal Generalized Including (qualifier) Seasonal course Direct type of relationship Room of building - Study Public health service Genomics Scientific Study Has focus Range Direct - PostalAddressUse include - SetOperator Delta (difference) Different Study Object Comparison IMPACT gene DICOM Study Direct (qualifier) Sample Range Global Study Include (action) Private Communication Address Public health domain Concept model range (foundation metadata concept) Impact Analytical Procedure Range COVID-19,C0008972 C0013113 C0017428 C0021400 C0021403 C0034019 C0205234 C0205246 C0332257 C0439601 C0439851 C0557651 C0699943 C0887950 C0947630 C1285542 C1514721 C1552596 C1552866 C1705241 C1705242 C1705923 C1707455 C1825598 C1880229 C1947931 C2348147 C2348867 C2603343 C2700399 C3244286 C3244304 C3542016 C4049986 C4760793 C5203670,Genome Influenza Influenza virus vaccine Public health service Genomics,C0017428 C0021400 C0021403 C0699943 C0887950,Clinical Research Drawings (art) Influenza Focal Generalized Seasonal course Public health service Genomics Delta (difference) Comparison IMPACT gene Direct (qualifier) Include (action) Analytical Procedure Range COVID-19,C0008972 C0013113 C0021400 C0205234 C0205246 C0439601 C0699943 C0887950 C1705241 C1707455 C1825598 C1947931 C2700399 C4760793 C5203670,Influenza Public health service Genomics,C0021400 C0699943 C0887950,,COVID-19,C5203670,,,COVID-19,C5203670,,
32,coronavirus subtypes,sars-cov-2 subtypes,paper discuss subtypes virus name subtypes speculative subtypes base genomic geographic clustering,covid-19,,Genus: Coronavirus Subtype (attribute),C0206419 C0449560,,,Genus: Coronavirus Subtype (attribute),C0206419 C0449560,,,,Subtype (attribute) SARS-CoV-2,C0449560 C5203676,,,Subtype (attribute) SARS-CoV-2,C0449560 C5203676,,,   Alkali,Alkalies statistical cluster Genome Name Paper Virus Base Structure of base of prostate AS virus Subtype (attribute) Genomics Dioscorea trifida Geographic Person Name Paper Authorization Base - RX Component Type base - RoleClass MDF Attribute Type - Name Unit dose - Base nitrogenous base Base - General Qualifier BPIFA4P gene Dental Base Discussion (communication) Name:Patient number:Point in time:^Patient:Nominal Paper Dosing Unit Anatomical base Name (property) (qualifier value),C0002055 C0009085 C0017428 C0027365 C0030351 C0042776 C0178499 C0227958 C0319157 C0449560 C0887950 C1018834 C1517526 C1547383 C1547566 C1549548 C1550601 C1554107 C1626935 C1704464 C1705938 C1843354 C1880279 C2584313 C2599456 C2826224 C2987514 C4522128,Genome Name Paper Genomics,C0017428 C0027365 C0030351 C0887950,Alkalies statistical cluster Name Paper AS virus Subtype (attribute) Genomics Geographic Discussion (communication),C0002055 C0009085 C0027365 C0030351 C0319157 C0449560 C0887950 C1517526 C2584313,Name Paper Genomics,C0027365 C0030351 C0887950,,COVID-19,C5203670,,,COVID-19,C5203670,,
33,coronavirus vaccine candidate,vaccine candidate test covid-19,seek study discuss possible specific covid-19 vaccine include article describe mechanism action specific propose vaccine actual clinical trial exclude article name specific vaccine candidate,covid-19,,Vaccines Genus: Coronavirus Candidate,C0042210 C0206419 C4527371,Vaccines,C0042210,Vaccines Genus: Coronavirus Candidate,C0042210 C0206419 C4527371,Vaccines,C0042210,  ,Laboratory Procedures Testing Vaccines Tests (qualifier value) Test Result Test Dosing Unit Test Name Blood Products Laboratory Testing Test - temporal region Candidate COVID-19,C0022885 C0039593 C0042210 C0392366 C0456984 C1704435 C2826273 C3831328 C4318744 C4527371 C5203670,Vaccines,C0042210,Vaccines Blood Products Laboratory Testing Candidate COVID-19,C0042210 C3831328 C4527371 C5203670,Vaccines,C0042210,   ,Clinical Research Clinical Trials Name Vaccines Specific qualifier value Actual Possible Exclude Including (qualifier) Clinical action Mechanism (attribute) Room of building - Study Scientific Study Dioscorea trifida Clinical Trial [Publication Type] Person Name control act - action observation - clinical trial Entity Determiner - specific include - SetOperator Set Operator - exclude MDF Attribute Type - Name Possibly Related to Intervention Study Object Mechanism Component of Device Article DICOM Study Possible diagnosis Discussion (communication) Name:Patient number:Point in time:^Patient:Nominal Study Include (action) Exclusion Action Name (property) (qualifier value) Candidate Regulatory Action COVID-19,C0008972 C0008976 C0027365 C0042210 C0205369 C0237400 C0332149 C0332196 C0332257 C0441472 C0441712 C0557651 C0947630 C1018834 C1096775 C1547383 C1552007 C1552009 C1552740 C1552866 C1552867 C1554107 C1705910 C1705923 C1706376 C1706852 C1880229 C2362652 C2584313 C2599456 C2603343 C2700399 C2828389 C3266814 C4522128 C4527371 C5202992 C5203670,Name Vaccines,C0027365 C0042210,Clinical Research Name Vaccines Actual Possible Exclude Mechanism (attribute) Clinical Trial [Publication Type] Entity Determiner - specific Article Discussion (communication) Include (action) Action Candidate COVID-19,C0008972 C0027365 C0042210 C0237400 C0332149 C0332196 C0441712 C1096775 C1552740 C1706852 C2584313 C2700399 C3266814 C4527371 C5203670,Name Vaccines,C0027365 C0042210,,COVID-19,C5203670,,,COVID-19,C5203670,,
34,coronavirus recovery,longer-term complication recover covid-19,seek information health outcome recover virus exclude study focus adverse effect relate particular covid-19 drug,covid-19,,Genus: Coronavirus Recovery - action recovery - adjustment Recovery - healing process,C0206419 C0237820 C1555688 C2004454,,,Genus: Coronavirus Recovery - action,C0206419 C0237820,,,,"Complication Term Birth Recovering from Term (temporal) Term (lexical) Recovery - healing process Complication (attribute) Reported Term Human Cells, Tissues, and Cellular and Tissue-Based Products Recovery COVID-19",C0009566 C0233324 C0521108 C1515273 C1705313 C2004454 C2362589 C2826302 C3858677 C5203670,Term Birth,C0233324,"Complication Term Birth Human Cells, Tissues, and Cellular and Tissue-Based Products Recovery COVID-19",C0009566 C0233324 C3858677 C5203670,Term Birth,C0233324, ,"Clinical Research Pharmaceutical Preparations Health Virus Relate - vinyl resin Focal AS virus Exclude Recovering from Room of building - Study Adverse reactions control act - information Adverse effects Scientific Study Pharmacologic Substance Result Has focus Information Set Operator - exclude Error severity - Information Acknowledgement Detail Type - Information Study Object DICOM Study Recovery - healing process Study Exclusion Human Cells, Tissues, and Cellular and Tissue-Based Products Recovery COVID-19",C0008972 C0013227 C0018684 C0042776 C0163712 C0205234 C0319157 C0332196 C0521108 C0557651 C0559546 C0870705 C0879626 C0947630 C1254351 C1274040 C1285542 C1533716 C1552867 C1561527 C1561528 C1705923 C1880229 C2004454 C2603343 C2828389 C3858677 C5203670,Adverse effects,C0879626,"Clinical Research Pharmaceutical Preparations Health Relate - vinyl resin Focal AS virus Exclude Adverse effects Result Acknowledgement Detail Type - Information Human Cells, Tissues, and Cellular and Tissue-Based Products Recovery COVID-19",C0008972 C0013227 C0018684 C0163712 C0205234 C0319157 C0332196 C0879626 C1274040 C1561528 C3858677 C5203670,Adverse effects,C0879626,,COVID-19,C5203670,,,COVID-19,C5203670,,
35,coronavirus public datasets,new public datasets available related covid-19,seek article specifically release new data relate sars-cov-2 covid-19 include genomic data patient data public health data etc article reference previously exist datasets relevant,covid-19,,Genus: Coronavirus public entity Postal Address Use - Public,C0206419 C0678367 C1552597,,,Genus: Coronavirus Postal Address Use - Public,C0206419 C1552597,,, ,Relate - vinyl resin New Relationships Related personal status Availability of public entity Postal Address Use - Public Role Link Type - related Act Status - new Query Status Code - new Definitely Related to Intervention New Lesion Identification Newar Language COVID-19,C0163712 C0205314 C0439849 C0445223 C0470187 C0678367 C1552597 C1552599 C1553390 C1578513 C1704787 C2986548 C4724144 C5203670,,,Availability of Postal Address Use - Public Act Status - new Definitely Related to Intervention COVID-19,C0470187 C1552597 C1553390 C1704787 C5203670,,,  ,Genome Patient Discharge public health medicine (field) Relate - vinyl resin New Including (qualifier) Released (action) Discharge (release) Public health service Genomics Release - action (qualifier value) Data Bibliographic Reference include - SetOperator Act Status - new Reference - MdfHmdMetSourceType Query Status Code - new Reference Object Article Release (procedure) Relevance Include (action) Patient data New Lesion Identification Exist Public health domain Reference - HL7UpdateMode Data call receiving device Data (eukaryote) Release Determination Newar Language COVID-19 SARS-CoV-2,C0017428 C0030685 C0034019 C0163712 C0205314 C0332257 C0391871 C0680255 C0699943 C0887950 C1283071 C1511726 C1514811 C1552866 C1553390 C1561577 C1578513 C1706462 C1706852 C1963578 C2347946 C2700399 C2707520 C2986548 C2987476 C3244304 C3244318 C3245479 C3714741 C4521542 C4724144 C5203670 C5203676,Genome Patient Discharge Public health service Genomics,C0017428 C0030685 C0699943 C0887950,Patient Discharge Relate - vinyl resin Public health service Genomics Bibliographic Reference Act Status - new Article Relevance Include (action) Patient data Exist Data call receiving device COVID-19 SARS-CoV-2,C0030685 C0163712 C0699943 C0887950 C1514811 C1553390 C1706852 C2347946 C2700399 C2707520 C2987476 C3245479 C5203670 C5203676,Patient Discharge Public health service Genomics,C0030685 C0699943 C0887950,,COVID-19,C5203670,,,COVID-19,C5203670,,
36,sars-cov-2 spike structure,protein structure sars-cov-2 spike,look study structure spike protein virus use method cryo-em crystallography,covid-19,,Structure Spike SARS-CoV-2,C0678594 C3882441 C5203676,,,Structure Spike SARS-CoV-2,C0678594 C3882441 C5203676,,,  ,"Protein, Organized by Structure Protein Structure Spike SARS-CoV-2",C0175168 C1510464 C3882441 C5203676,,,"Protein, Organized by Structure Spike SARS-CoV-2",C0175168 C3882441 C5203676,,,     ,"Clinical Research Crystallography Methods utilization qualifier Viral Proteins Personal appearance Techniques Usage Room of building - Study Structure M Protein, multiple myeloma Test Method Scientific Study Study Object DICOM Study Use - dosing instruction imperative Study CDISC SDTM Method Terminology Method, LOINC Axis 6",C0008972 C0010424 C0025663 C0042153 C0042736 C0233426 C0449851 C0457083 C0557651 C0678594 C0700271 C0871511 C0947630 C1705923 C1880229 C1947944 C2603343 C2827714 C2828387,"Crystallography Methods Viral Proteins M Protein, multiple myeloma",C0010424 C0025663 C0042736 C0700271,"Clinical Research Crystallography Methods Viral Proteins Personal appearance Usage Structure M Protein, multiple myeloma",C0008972 C0010424 C0025663 C0042736 C0233426 C0457083 C0678594 C0700271,"Crystallography Methods Viral Proteins M Protein, multiple myeloma",C0010424 C0025663 C0042736 C0700271,,COVID-19,C5203670,,,COVID-19,C5203670,,
37,sars-cov-2 phylogenetic analysis,result phylogenetic analysis sars-cov-2 genome sequence,look range study provide result phylogenetic network analysis sars-cov-2 genome,covid-19,,Phylogenetic Analysis SARS-CoV-2,C1519068 C5203676,,,Phylogenetic Analysis SARS-CoV-2,C1519068 C5203676,,, ,Base Sequence Genome DNA Sequence RNA Sequence Result Phylogenetic Analysis Sequence What subject filter - Result Sequence - ParameterizedDataType Sequence - DataType Genome - anatomical entity Experimental Result Sequence - TransmissionRelationshipTypeCode SARS-CoV-2,C0004793 C0017428 C0162326 C0162327 C1274040 C1519068 C1519249 C1546471 C1547787 C1610719 C2338314 C2825142 C3853789 C5203676,Base Sequence Genome DNA Sequence RNA Sequence,C0004793 C0017428 C0162326 C0162327,Base Sequence Genome Phylogenetic Analysis Experimental Result SARS-CoV-2,C0004793 C0017428 C1519068 C2825142 C5203676,Base Sequence Genome,C0004793 C0017428, ,Clinical Research Genome Personal appearance Provide (product) Room of building - Study Pathway Analysis Scientific Study Result Range What subject filter - Result Study Object DICOM Study Providing (action) Genome - anatomical entity Sample Range Study Experimental Result Concept model range (foundation metadata concept) Analytical Procedure Range SARS-CoV-2,C0008972 C0017428 C0233426 C0359589 C0557651 C0868995 C0947630 C1274040 C1514721 C1546471 C1705923 C1880229 C1999230 C2338314 C2348147 C2603343 C2825142 C3542016 C4760793 C5203676,Genome,C0017428,Clinical Research Genome Personal appearance Provide (product) Pathway Analysis Experimental Result Analytical Procedure Range SARS-CoV-2,C0008972 C0017428 C0233426 C0359589 C0868995 C2825142 C4760793 C5203676,Genome,C0017428,,COVID-19,C5203670,,,COVID-19,C5203670,,
38,covid inflammatory response,mechanism inflammatory response pathogenesis covid-19 case,look range study describe inflammatory response cell pathogenesis coronavirus disease covid-19 outbreak include mechanism anti-inflammatory drug corticosteroid vitamin supplement,covid-19,,Inflammatory Response,C1155266,,,Inflammatory Response,C1155266,,,,Mechanism (attribute) pathogenic aspects Pathogenesis Case (situation) Inflammatory Response Case unit dose Packaging Case Clinical Study Case Mechanism Component of Device True Case Status COVID-19,C0441712 C0543483 C0699748 C0868928 C1155266 C1533148 C1706255 C1706256 C1706376 C3274647 C5203670,Pathogenesis,C0699748,Mechanism (attribute) Pathogenesis Case (situation) Inflammatory Response COVID-19,C0441712 C0699748 C0868928 C1155266 C5203670,Pathogenesis,C0699748,    ,Adrenal Cortex Hormones Anti-Inflammatory Agents Cells Clinical Research Disease Disease Outbreaks Pharmaceutical Preparations Genus: Coronavirus Personal appearance Including (qualifier) Mechanism (attribute) pathogenic aspects Room of building - Study Vitamin supplement Pathogenesis Scientific Study Cellular Phone Inflammatory Response Pharmacologic Substance Entire cell CEL gene Range Anti-inflammatory effect include - SetOperator Cell Device Study Object Mechanism Component of Device DICOM Study Cell (compartment) Sample Range Study Include (action) Corticosteroid [EPC] Concept model range (foundation metadata concept) Analytical Procedure Range COVID-19,C0001617 C0003209 C0007634 C0008972 C0012634 C0012652 C0013227 C0206419 C0233426 C0332257 C0441712 C0543483 C0557651 C0681579 C0699748 C0947630 C1136359 C1155266 C1254351 C1269647 C1413336 C1514721 C1515999 C1552866 C1704653 C1705923 C1706376 C1880229 C1948049 C2348147 C2603343 C2700399 C3536709 C3542016 C4760793 C5203670,Adrenal Cortex Hormones Anti-Inflammatory Agents Disease Disease Outbreaks Pathogenesis Cellular Phone,C0001617 C0003209 C0012634 C0012652 C0699748 C1136359,Adrenal Cortex Hormones Anti-Inflammatory Agents Clinical Research Disease Disease Outbreaks Pharmaceutical Preparations Genus: Coronavirus Personal appearance Mechanism (attribute) Vitamin supplement Pathogenesis Cellular Phone Inflammatory Response Include (action) Analytical Procedure Range COVID-19,C0001617 C0003209 C0008972 C0012634 C0012652 C0013227 C0206419 C0233426 C0441712 C0681579 C0699748 C1136359 C1155266 C2700399 C4760793 C5203670,Adrenal Cortex Hormones Anti-Inflammatory Agents Disease Disease Outbreaks Pathogenesis Cellular Phone,C0001617 C0003209 C0012634 C0012652 C0699748 C1136359,,COVID-19,C5203670,,,COVID-19,C5203670,,
39,covid-19 cytokine storm,mechanism cytokine storm syndrome covid-19,look study describe mechanism development cytokine storm syndrome among covid-19 case range drug use therapy cytokine storm,covid-19, Cytokine,cytokine COVID-19,C0079189 C5203670,,,cytokine COVID-19,C0079189 C5203670,,, Cytokine ,cytokine Mechanism (attribute) Mechanism Component of Device Storm Syndrome COVID-19,C0079189 C0441712 C1706376 C1861452 C5203670,Storm Syndrome,C1861452,cytokine Mechanism (attribute) Storm Syndrome COVID-19,C0079189 C0441712 C1861452 C5203670,Storm Syndrome,C1861452, Cytokine   ,Clinical Research cytokine Personal appearance development aspects Mechanism (attribute) Room of building - Study Biologic Development Scientific Study Development Study Object Mechanism Component of Device DICOM Study Study Development Lot Development Batch,C0008972 C0079189 C0233426 C0243107 C0441712 C0557651 C0678723 C0947630 C1527148 C1705923 C1706376 C1880229 C2603343 C3272564 C4521286,Development,C1527148,Clinical Research cytokine Personal appearance Mechanism (attribute) Development,C0008972 C0079189 C0233426 C0441712 C1527148,Development,C1527148,,COVID-19,C5203670,,,COVID-19,C5203670,,
40,coronavirus mutation,observed mutation sars-cov-2 genome often mutation occur,look study describe emergence genomic diversity coronavirus due recurrent mutation explore potential genomic site mutation mechanism potential observed clinical implication pathogenicity virus,covid-19,,Mutation Genus: Coronavirus Mutation Abnormality,C0026882 C0206419 C1705285,Mutation,C0026882,Mutation Genus: Coronavirus,C0026882 C0206419,Mutation,C0026882,    Frequent Infrequent Repeat ,Genome Mutation Frequently Observed Mutation Abnormality Occur (action) Genome - anatomical entity Occurrence Often - answer to question Occurrence Indicator SARS-CoV-2,C0017428 C0026882 C0332183 C1441672 C1705285 C1709305 C2338314 C2745955 C4050225 C4284875 C5203676,Genome Mutation Occurrence,C0017428 C0026882 C2745955,Genome Mutation Frequently Observed Occurrence SARS-CoV-2,C0017428 C0026882 C0332183 C1441672 C2745955 C5203676,Genome Mutation Occurrence,C0017428 C0026882 C2745955,  Recurrent    ,Clinical Research Genome Mutation Pathogenicity Aspects Virus Site Clinical Genus: Coronavirus Personal appearance AS virus Mechanism (attribute) Room of building - Study Due to Genomics Scientific Study Pathogenicity Observed Episodic Anatomic Site Specimen Source Codes - Site Mutation Abnormality Study Object Mechanism Component of Device DICOM Study Diversity Study Study Site Recurrent Due Potential Clinical Lot Clinical Batch,C0008972 C0017428 C0026882 C0030657 C0042776 C0205145 C0205210 C0206419 C0233426 C0319157 C0441712 C0557651 C0678226 C0887950 C0947630 C1136169 C1441672 C1455761 C1515974 C1546778 C1705285 C1705923 C1706376 C1880229 C1880371 C2603343 C2825164 C2945760 C3146286 C3245505 C3272565 C4523057,Genome Mutation Genomics Pathogenicity,C0017428 C0026882 C0887950 C1136169,Clinical Research Mutation Clinical Genus: Coronavirus Personal appearance AS virus Mechanism (attribute) Genomics Pathogenicity Observed Episodic Anatomic Site Diversity Due Potential,C0008972 C0026882 C0205210 C0206419 C0233426 C0319157 C0441712 C0887950 C1136169 C1441672 C1455761 C1515974 C1880371 C3146286 C3245505,Mutation Genomics Pathogenicity,C0026882 C0887950 C1136169,,COVID-19,C5203670,,,COVID-19,C5203670,,
41,covid-19 african-american,impact covid-19 among african-american differ rest u.s. population,look study analyze burden illness death among african-american black racial ethnic group include potential reason transmission morbidity mortality may include discussion minority group study contain specific information health disparity face african-american pandemic,covid-19,,African American COVID-19,C0085756 C5203670,,,African American COVID-19,C0085756 C5203670,,,,geographic population Rest African American Population Group REST gene site-specific telomere resolvase activity IMPACT gene Impact COVID-19,C0032659 C0035253 C0085756 C1257890 C1419346 C1622890 C1825598 C4049986 C5203670,Rest Population Group,C0035253 C1257890,Rest African American Population Group IMPACT gene COVID-19,C0035253 C0085756 C1257890 C1825598 C5203670,Rest Population Group,C0035253 C1257890,   Discussion  Facial Afro-Caribbean childhood eruption  ,"Black race Clinical Research Cessation of life Ethnic group Face Minority Groups Morbidity - disease rate Mortality Vital Statistics Aspects of mortality statistics African race disease transmission qualifier African American Cost of Illness Specific qualifier value morbidity aspects Personal appearance disease transmission Containing (qualifier) Including (qualifier) Indication of (contextual qualifier) Black color Discussion (procedure) Room of building - Study control act - information Scientific Study health disparity Entire face Death (finding) ELOVL6 gene transmission process Information Event Consequence - Death Entity Determiner - specific include - SetOperator Adverse Event Associated with Death Error severity - Information Acknowledgement Detail Type - Information Pandemics Black - Structured Product Labeling Color Study Object CDISC SDTM Patient Ethnic Group Terminology DICOM Study Discussion (communication) Study Include (action) Contain (action) FANCE wt Allele FANCONI ANEMIA, COMPLEMENTATION GROUP E Potential Month of May Face (spatial concept) Death Domain",C0005680 C0008972 C0011065 C0015031 C0015450 C0026192 C0026538 C0026565 C0026566 C0027567 C0040722 C0085756 C0162698 C0205369 C0220880 C0233426 C0242781 C0332256 C0332257 C0392360 C0439541 C0557061 C0557651 C0870705 C0947630 C1171307 C1281591 C1306577 C1423759 C1521797 C1533716 C1546949 C1552740 C1552866 C1559081 C1561527 C1561528 C1615608 C1704739 C1705923 C1879937 C1880229 C2584313 C2603343 C2700399 C2700400 C2828055 C3160739 C3245505 C3812381 C4284034 C4722467,Ethnic group Face Minority Groups Cost of Illness Pandemics Death Domain,C0015031 C0015450 C0026192 C0162698 C1615608 C4722467,Clinical Research Ethnic group Face Minority Groups Morbidity - disease rate Aspects of mortality statistics African American Cost of Illness Personal appearance disease transmission Indication of (contextual qualifier) health disparity Entity Determiner - specific Acknowledgement Detail Type - Information Pandemics Discussion (communication) Include (action) Contain (action) Potential Month of May Death Domain,C0008972 C0015031 C0015450 C0026192 C0026538 C0026566 C0085756 C0162698 C0233426 C0242781 C0392360 C1171307 C1552740 C1561528 C1615608 C2584313 C2700399 C2700400 C3245505 C3812381 C4722467,Ethnic group Face Minority Groups Cost of Illness Pandemics Death Domain,C0015031 C0015450 C0026192 C0162698 C1615608 C4722467,,COVID-19,C5203670,,,COVID-19,C5203670,,
